x,y,z,type
0.009,0.0005,0.0245,0
0.009,0.0005,0.025,0
0.009,0.0005,0.0255,0
0.009,0.0005,0.026,1
0.009,0.001,0.0245,1
0.009,0.001,0.025,1
0.009,0.001,0.0255,1
0.0095,-0.001,0.0245,1
0.0095,-0.001,0.025,1
0.0095,-0.001,0.0255,1
0.0095,-0.0005,0.024,1
0.0095,-0.0005,0.0245,0
0.0095,-0.0005,0.025,0
0.0095,-0.0005,0.0255,0
0.0095,-0.0005,0.026,1
0.0095,0.0,0.024,1
0.0095,0.0,0.0245,0
0.0095,0.0,0.025,0
0.0095,0.0,0.0255,0
0.0095,0.0,0.026,1
0.0095,0.0005,0.024,1
0.0095,0.0005,0.0245,0
0.0095,0.0005,0.025,0
0.0095,0.0005,0.0255,0
0.0095,0.0005,0.026,1
0.0095,0.001,0.0245,1
0.0095,0.001,0.025,1
0.0095,0.001,0.0255,1
0.01,-0.001,0.0245,1
0.01,-0.001,0.025,1
0.01,-0.001,0.0255,1
0.01,-0.0005,0.024,1
0.01,-0.0005,0.0245,0
0.01,-0.0005,0.025,0
0.01,-0.0005,0.0255,0
0.01,-0.0005,0.026,1
0.01,0.0,0.024,1
0.01,0.0,0.0245,0
0.01,0.0,0.025,0
0.01,0.0,0.0255,0
0.01,0.0,0.026,1
0.01,0.0005,0.024,1
0.01,0.0005,0.0245,0
0.01,0.0005,0.025,0
0.01,0.0005,0.0255,0
0.01,0.0005,0.026,1
0.01,0.001,0.0245,1
0.01,0.001,0.025,1
0.01,0.001,0.0255,1
0.0105,-0.001,0.0245,1
0.0105,-0.001,0.025,1
0.0105,-0.001,0.0255,1
0.0105,-0.0005,0.024,1
0.0105,-0.0005,0.0245,0
0.0105,-0.0005,0.025,0
0.0105,-0.0005,0.0255,0
0.0105,-0.0005,0.026,1
0.0105,0.0,0.024,1
0.0105,0.0,0.0245,0
0.0105,0.0,0.025,0
0.0105,0.0,0.0255,0
0.0105,0.0,0.026,1
0.0105,0.0005,0.024,1
0.0105,0.0005,0.0245,0
0.0105,0.0005,0.025,0
0.0105,0.0005,0.0255,0
0.0105,0.0005,0.026,1
0.0105,0.001,0.0245,1
0.0105,0.001,0.025,1
0.0105,0.001,0.0255,1
0.011,-0.001,0.0245,1
0.011,-0.001,0.025,1
0.011,-0.001,0.0255,1
0.011,-0.0005,0.024,1
0.011,-0.0005,0.0245,0
0.011,-0.0005,0.025,0
0.011,-0.0005,0.0255,0
0.011,-0.0005,0.026,1
