X,Y,Z,non_zero_elements
-0.0005,-0.001,0.003,100
0,-0.001,0.003,100
0.0005,-0.001,0.003,100
0.001,-0.001,0.003,100
0.0015,-0.001,0.003,84
0.002,-0.001,0.003,59
-0.002,-0.0005,0.003,69
-0.0015,-0.0005,0.003,94
-0.001,-0.0005,0.003,100
-0.0005,-0.0005,0.003,100
0,-0.0005,0.003,100
0.0005,-0.0005,0.003,100
0.001,-0.0005,0.003,100
0.0015,-0.0005,0.003,94
0.002,-0.0005,0.003,69
-0.002,0,0.003,73
-0.0015,0,0.003,100
-0.001,0,0.003,100
-0.0005,0,0.003,100
0,0,0.003,100
0.0005,0,0.003,100
0.001,0,0.003,100
0.0015,0,0.003,100
0.002,0,0.003,73
-0.002,0.0005,0.003,69
-0.0015,0.0005,0.003,94
-0.001,0.0005,0.003,100
-0.0005,0.0005,0.003,100
0,0.0005,0.003,100
0.0005,0.0005,0.003,100
0.001,0.0005,0.003,100
0.0015,0.0005,0.003,94
0.002,0.0005,0.003,69
-0.002,0.001,0.003,59
-0.0015,0.001,0.003,84
-0.001,0.001,0.003,100
-0.0005,0.001,0.003,100
0,0.001,0.003,100
0.0005,0.001,0.003,100
0.001,0.001,0.003,100
0.0015,0.001,0.003,84
0.002,0.001,0.003,59
-0.0015,0.0015,0.003,66
-0.001,0.0015,0.003,84
-0.0005,0.0015,0.003,94
0,0.0015,0.003,100
0.0005,0.0015,0.003,94
0.001,0.0015,0.003,84
0.0015,0.0015,0.003,66
-0.001,0.002,0.003,59
-0.0005,0.002,0.003,69
0,0.002,0.003,73
0.0005,0.002,0.003,69
0.001,0.002,0.003,59
-0.001,-0.002,0.0035,59
-0.0005,-0.002,0.0035,69
0,-0.002,0.0035,73
0.0005,-0.002,0.0035,69
0.001,-0.002,0.0035,59
-0.0015,-0.0015,0.0035,66
-0.001,-0.0015,0.0035,84
-0.0005,-0.0015,0.0035,94
0,-0.0015,0.0035,100
0.0005,-0.0015,0.0035,94
0.001,-0.0015,0.0035,84
0.0015,-0.0015,0.0035,66
-0.002,-0.001,0.0035,59
-0.0015,-0.001,0.0035,84
-0.001,-0.001,0.0035,100
-0.0005,-0.001,0.0035,100
0,-0.001,0.0035,100
0.0005,-0.001,0.0035,100
0.001,-0.001,0.0035,100
0.0015,-0.001,0.0035,84
0.002,-0.001,0.0035,59
-0.002,-0.0005,0.0035,69
